longitude	latitude	date	location_name	number_of_smells
-0.3212539330124855	51.5187931060791	1897/01/01	Ealing	3
-0.3212539330124855	51.5187931060791	1900/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1902/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1903/01/01	Ealing	3
-0.3212539330124855	51.5187931060791	1904/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1905/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1906/01/01	Ealing	7
-0.3212539330124855	51.5187931060791	1907/01/01	Ealing	3
-0.3212539330124855	51.5187931060791	1908/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1909/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1910/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1911/01/01	Ealing	3
-0.3212539330124855	51.5187931060791	1913/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1914/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1915/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1919/01/01	Ealing	6
-0.3212539330124855	51.5187931060791	1923/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1925/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1926/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1927/01/01	Ealing	9
-0.3212539330124855	51.5187931060791	1928/01/01	Ealing	4
-0.3212539330124855	51.5187931060791	1929/01/01	Ealing	4
-0.3212539330124855	51.5187931060791	1930/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1931/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1932/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1933/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1934/01/01	Ealing	3
-0.3212539330124855	51.5187931060791	1935/01/01	Ealing	4
-0.3212539330124855	51.5187931060791	1936/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1937/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1938/01/01	Ealing	3
-0.3212539330124855	51.5187931060791	1939/01/01	Ealing	3
-0.3212539330124855	51.5187931060791	1940/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1941/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1942/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1943/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1944/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1945/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1946/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1949/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1953/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1954/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1955/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1956/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1957/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1958/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1959/01/01	Ealing	1
-0.3212539330124855	51.5187931060791	1960/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1967/01/01	Ealing	2
-0.3212539330124855	51.5187931060791	1971/01/01	Ealing	1
