longitude	latitude	date	location_name	number_of_smells
-0.4325003623962401	51.53482627868652	1896/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1908/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1913/01/01	Hillingdon	2
-0.4325003623962401	51.53482627868652	1919/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1921/01/01	Hillingdon	2
-0.4325003623962401	51.53482627868652	1925/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1935/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1949/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1950/01/01	Hillingdon	2
-0.4325003623962401	51.53482627868652	1951/01/01	Hillingdon	2
-0.4325003623962401	51.53482627868652	1952/01/01	Hillingdon	2
-0.4325003623962401	51.53482627868652	1953/01/01	Hillingdon	3
-0.4325003623962401	51.53482627868652	1954/01/01	Hillingdon	3
-0.4325003623962401	51.53482627868652	1955/01/01	Hillingdon	3
-0.4325003623962401	51.53482627868652	1956/01/01	Hillingdon	2
-0.4325003623962401	51.53482627868652	1957/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1958/01/01	Hillingdon	2
-0.4325003623962401	51.53482627868652	1959/01/01	Hillingdon	2
-0.4325003623962401	51.53482627868652	1960/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1961/01/01	Hillingdon	3
-0.4325003623962401	51.53482627868652	1962/01/01	Hillingdon	3
-0.4325003623962401	51.53482627868652	1963/01/01	Hillingdon	4
-0.4325003623962401	51.53482627868652	1964/01/01	Hillingdon	3
-0.4325003623962401	51.53482627868652	1967/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1968/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1969/01/01	Hillingdon	1
-0.4325003623962401	51.53482627868652	1970/01/01	Hillingdon	6
-0.4325003623962401	51.53482627868652	1971/01/01	Hillingdon	12
-0.4325003623962401	51.53482627868652	1972/01/01	Hillingdon	5
-0.4325003623962401	51.53482627868652	1973/01/01	Hillingdon	2
