longitude	latitude	date	location_name	number_of_smells
-0.15054083988070488	51.53470993041992	1856/01/01	Camden	10
-0.15054083988070488	51.53470993041992	1857/01/01	Camden	3
-0.15054083988070488	51.53470993041992	1858/01/01	Camden	5
-0.15054083988070488	51.53470993041992	1860/01/01	Camden	4
-0.15054083988070488	51.53470993041992	1862/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1863/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1865/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1869/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1870/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1871/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1872/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1876/01/01	Camden	5
-0.15054083988070488	51.53470993041992	1877/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1879/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1880/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1881/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1883/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1889/01/01	Camden	5
-0.15054083988070488	51.53470993041992	1890/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1891/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1892/01/01	Camden	10
-0.15054083988070488	51.53470993041992	1893/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1894/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1896/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1898/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1899/01/01	Camden	3
-0.15054083988070488	51.53470993041992	1900/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1901/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1902/01/01	Camden	10
-0.15054083988070488	51.53470993041992	1903/01/01	Camden	7
-0.15054083988070488	51.53470993041992	1904/01/01	Camden	8
-0.15054083988070488	51.53470993041992	1905/01/01	Camden	13
-0.15054083988070488	51.53470993041992	1906/01/01	Camden	4
-0.15054083988070488	51.53470993041992	1907/01/01	Camden	4
-0.15054083988070488	51.53470993041992	1908/01/01	Camden	5
-0.15054083988070488	51.53470993041992	1909/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1910/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1911/01/01	Camden	4
-0.15054083988070488	51.53470993041992	1912/01/01	Camden	4
-0.15054083988070488	51.53470993041992	1913/01/01	Camden	4
-0.15054083988070488	51.53470993041992	1914/01/01	Camden	6
-0.15054083988070488	51.53470993041992	1915/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1916/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1917/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1919/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1923/01/01	Camden	3
-0.15054083988070488	51.53470993041992	1924/01/01	Camden	3
-0.15054083988070488	51.53470993041992	1925/01/01	Camden	5
-0.15054083988070488	51.53470993041992	1926/01/01	Camden	7
-0.15054083988070488	51.53470993041992	1927/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1928/01/01	Camden	6
-0.15054083988070488	51.53470993041992	1929/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1931/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1932/01/01	Camden	3
-0.15054083988070488	51.53470993041992	1935/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1936/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1938/01/01	Camden	3
-0.15054083988070488	51.53470993041992	1949/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1950/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1951/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1952/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1953/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1954/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1955/01/01	Camden	4
-0.15054083988070488	51.53470993041992	1956/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1957/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1958/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1959/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1960/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1961/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1962/01/01	Camden	1
-0.15054083988070488	51.53470993041992	1963/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1964/01/01	Camden	2
-0.15054083988070488	51.53470993041992	1966/01/01	Camden	1
