longitude	latitude	date	location_name	number_of_smells
-0.18150794133543968	51.40771484375	1895/01/01	Merton	5
-0.18150794133543968	51.40771484375	1896/01/01	Merton	1
-0.18150794133543968	51.40771484375	1898/01/01	Merton	2
-0.18150794133543968	51.40771484375	1904/01/01	Merton	2
-0.18150794133543968	51.40771484375	1906/01/01	Merton	1
-0.18150794133543968	51.40771484375	1908/01/01	Merton	1
-0.18150794133543968	51.40771484375	1909/01/01	Merton	2
-0.18150794133543968	51.40771484375	1913/01/01	Merton	4
-0.18150794133543968	51.40771484375	1925/01/01	Merton	1
-0.18150794133543968	51.40771484375	1928/01/01	Merton	1
-0.18150794133543968	51.40771484375	1932/01/01	Merton	2
-0.18150794133543968	51.40771484375	1933/01/01	Merton	4
-0.18150794133543968	51.40771484375	1934/01/01	Merton	1
-0.18150794133543968	51.40771484375	1937/01/01	Merton	2
-0.18150794133543968	51.40771484375	1948/01/01	Merton	1
-0.18150794133543968	51.40771484375	1949/01/01	Merton	1
-0.18150794133543968	51.40771484375	1951/01/01	Merton	1
-0.18150794133543968	51.40771484375	1955/01/01	Merton	1
-0.18150794133543968	51.40771484375	1956/01/01	Merton	4
-0.18150794133543968	51.40771484375	1959/01/01	Merton	4
-0.18150794133543968	51.40771484375	1962/01/01	Merton	1
-0.18150794133543968	51.40771484375	1963/01/01	Merton	3
-0.18150794133543968	51.40771484375	1965/01/01	Merton	2
-0.18150794133543968	51.40771484375	1966/01/01	Merton	2
-0.18150794133543968	51.40771484375	1967/01/01	Merton	2
-0.18150794133543968	51.40771484375	1968/01/01	Merton	3
-0.18150794133543968	51.40771484375	1969/01/01	Merton	2
-0.18150794133543968	51.40771484375	1970/01/01	Merton	5
-0.18150794133543968	51.40771484375	1971/01/01	Merton	10
-0.18150794133543968	51.40771484375	1972/01/01	Merton	6
-0.18150794133543968	51.40771484375	1973/01/01	Merton	3
