date	number_of_smells
1902/01/01	4
1902/01/01	1
1902/01/01	1
1902/01/01	10
1902/01/01	1
1902/01/01	3
1902/01/01	5
1902/01/01	2
1902/01/01	4
1902/01/01	8
1903/01/01	26
1903/01/01	18
1903/01/01	3
1903/01/01	1
1903/01/01	5
1903/01/01	11
1903/01/01	6
1903/01/01	1
1903/01/01	7
1903/01/01	3
1903/01/01	7
1903/01/01	4
1903/01/01	5
1903/01/01	6
1903/01/01	2
1904/01/01	9
1904/01/01	18
1904/01/01	14
1904/01/01	2
1904/01/01	2
1904/01/01	5
1904/01/01	16
1904/01/01	26
1904/01/01	6
1904/01/01	8
1904/01/01	1
1904/01/01	1
1904/01/01	3
1904/01/01	1
1904/01/01	1
1904/01/01	3
1904/01/01	7
1904/01/01	2
1904/01/01	12
1904/01/01	6
1905/01/01	8
1905/01/01	5
1905/01/01	6
1905/01/01	1
1905/01/01	2
1905/01/01	1
1905/01/01	5
1905/01/01	22
1905/01/01	2
1905/01/01	4
1905/01/01	7
1905/01/01	13
1905/01/01	2
1905/01/01	1
1905/01/01	4
1905/01/01	5
1905/01/01	1
1905/01/01	4
1905/01/01	2
1905/01/01	1
1905/01/01	8
1906/01/01	4
1906/01/01	5
1906/01/01	4
1906/01/01	3
1906/01/01	7
1906/01/01	6
1906/01/01	2
1906/01/01	4
1906/01/01	7
1906/01/01	9
1906/01/01	1
1906/01/01	2
1906/01/01	1
1906/01/01	27
1906/01/01	1
1906/01/01	21
1907/01/01	4
1907/01/01	1
1907/01/01	9
1907/01/01	1
1907/01/01	4
1907/01/01	6
1907/01/01	4
1907/01/01	2
1907/01/01	3
1907/01/01	9
1907/01/01	3
1907/01/01	1
1907/01/01	2
1907/01/01	1
1908/01/01	2
1908/01/01	6
1908/01/01	9
1908/01/01	1
1908/01/01	3
1908/01/01	3
1908/01/01	3
1908/01/01	1
1908/01/01	2
1908/01/01	5
1908/01/01	7
1908/01/01	2
1908/01/01	3
1908/01/01	11
1908/01/01	6
1908/01/01	1
1908/01/01	5
1908/01/01	7
1909/01/01	4
1909/01/01	1
1909/01/01	10
1909/01/01	2
1909/01/01	9
1909/01/01	1
1909/01/01	1
1909/01/01	6
1909/01/01	3
1909/01/01	2
1909/01/01	3
1909/01/01	1
1909/01/01	2
1909/01/01	3
1909/01/01	2
1909/01/01	3
1909/01/01	18
1909/01/01	6
1910/01/01	7
1910/01/01	6
1910/01/01	4
1910/01/01	1
1910/01/01	4
1910/01/01	3
1910/01/01	1
1910/01/01	2
1910/01/01	4
1910/01/01	1
1910/01/01	1
1910/01/01	3
1910/01/01	13
1910/01/01	2
1910/01/01	4
1910/01/01	3
1911/01/01	3
1911/01/01	2
1911/01/01	5
1911/01/01	1
1911/01/01	7
1911/01/01	1
1911/01/01	2
1911/01/01	2
1911/01/01	1
1911/01/01	4
1911/01/01	4
1911/01/01	4
1911/01/01	1
1911/01/01	3
1911/01/01	1
1911/01/01	2
1911/01/01	2
1911/01/01	3
1911/01/01	14
1912/01/01	2
1912/01/01	1
1912/01/01	17
1912/01/01	3
1912/01/01	2
1912/01/01	9
1912/01/01	4
1912/01/01	2
1912/01/01	2
1912/01/01	10
1912/01/01	5
1912/01/01	6
1912/01/01	2
1913/01/01	7
1913/01/01	1
1913/01/01	7
1913/01/01	2
1913/01/01	1
1913/01/01	3
1913/01/01	4
1913/01/01	1
1913/01/01	1
1913/01/01	10
1913/01/01	2
1913/01/01	4
1913/01/01	7
1913/01/01	2
1913/01/01	11
1913/01/01	1
1913/01/01	5
1913/01/01	5
1913/01/01	4
1913/01/01	4
1913/01/01	1
1913/01/01	2
1913/01/01	2
1913/01/01	4
1914/01/01	4
1914/01/01	1
1914/01/01	9
1914/01/01	2
1914/01/01	4
1914/01/01	1
1914/01/01	2
1914/01/01	2
1914/01/01	1
1914/01/01	6
1914/01/01	1
1914/01/01	1
1914/01/01	2
1914/01/01	16
1914/01/01	1
1914/01/01	5
1914/01/01	6
1914/01/01	2
1914/01/01	2
1914/01/01	4
1914/01/01	3
1915/01/01	2
1915/01/01	2
1915/01/01	4
1915/01/01	1
1915/01/01	1
1915/01/01	2
1915/01/01	1
1915/01/01	1
1915/01/01	1
1915/01/01	1
1915/01/01	1
1915/01/01	2
1915/01/01	4
1915/01/01	1
1915/01/01	2
1916/01/01	1
1916/01/01	3
1916/01/01	2
1916/01/01	1
1917/01/01	3
1917/01/01	2
1917/01/01	1
1917/01/01	2
1918/01/01	1
1918/01/01	2
1918/01/01	5
1918/01/01	1
1918/01/01	2
1918/01/01	1
1919/01/01	3
1919/01/01	1
1919/01/01	1
1919/01/01	4
1919/01/01	1
1919/01/01	6
1919/01/01	1
1919/01/01	2
1919/01/01	3
1919/01/01	1
1920/01/01	2
1920/01/01	1
1920/01/01	2
1920/01/01	1
1920/01/01	2
1920/01/01	1
1920/01/01	1
1920/01/01	1
1920/01/01	1
1920/01/01	5
1920/01/01	3
1920/01/01	3
1921/01/01	4
1921/01/01	4
1921/01/01	1
1921/01/01	2
1921/01/01	1
1921/01/01	1
1921/01/01	6
1921/01/01	1
1922/01/01	3
1922/01/01	2
1922/01/01	3
1922/01/01	5
1922/01/01	2
1923/01/01	3
1923/01/01	3
1923/01/01	1
1923/01/01	1
1923/01/01	3
1923/01/01	3
1923/01/01	1
1923/01/01	1
1923/01/01	2
1923/01/01	2
1923/01/01	6
1924/01/01	3
1924/01/01	2
1924/01/01	2
1924/01/01	1
1924/01/01	3
1924/01/01	2
1924/01/01	6
1924/01/01	1
1924/01/01	1
1924/01/01	4
1925/01/01	2
1925/01/01	4
1925/01/01	2
1925/01/01	1
1925/01/01	1
1925/01/01	1
1925/01/01	2
1925/01/01	2
1925/01/01	1
1925/01/01	4
1925/01/01	1
1925/01/01	3
1925/01/01	2
1925/01/01	5
1925/01/01	1
1925/01/01	1
1925/01/01	2
1925/01/01	4
1925/01/01	2
1925/01/01	5
1925/01/01	1
1925/01/01	1
1925/01/01	1
1925/01/01	2
1926/01/01	3
1926/01/01	3
1926/01/01	1
1926/01/01	1
1926/01/01	2
1926/01/01	1
1926/01/01	4
1926/01/01	7
1926/01/01	2
1926/01/01	4
1926/01/01	2
1926/01/01	7
1926/01/01	1
1926/01/01	2
1927/01/01	3
1927/01/01	2
1927/01/01	1
1927/01/01	3
1927/01/01	1
1927/01/01	2
1927/01/01	9
1927/01/01	2
1927/01/01	2
1927/01/01	2
1927/01/01	1
1928/01/01	3
1928/01/01	1
1928/01/01	1
1928/01/01	1
1928/01/01	2
1928/01/01	1
1928/01/01	2
1928/01/01	6
1928/01/01	4
1928/01/01	2
1928/01/01	1
1928/01/01	4
1928/01/01	1
1928/01/01	1
1928/01/01	1
1929/01/01	5
1929/01/01	3
1929/01/01	3
1929/01/01	1
1929/01/01	2
1929/01/01	1
1929/01/01	9
1929/01/01	3
1929/01/01	4
1929/01/01	2
1929/01/01	2
1929/01/01	1
1929/01/01	3
1929/01/01	1
1930/01/01	3
1930/01/01	4
