Id,MoHPlace,GazetteerPlace,MatchType,MarcSource,NormalisedPlace,SecondaryNormalisedPlace,NormalisedMoHPlace
550,"Harrow-on-the-Hill (London, England)",NULL,NULL,651,Harrow,NULL,Harrow-on-the-Hill
551,HestonandIsleworth,NULL,NULL,0,Hounslow,NULL,Heston and Isleworth
552,Kingston,NULL,NULL,0,Kingston upon Thames,NULL,Kingston
553,MaldenandCoombe,NULL,NULL,0,Kingston upon Thames,NULL,Malden and Coombe
554,Maldens,NULL,NULL,0,Kingston upon Thames,NULL,Maldens
555,MertonandMorden,NULL,NULL,0,Merton,NULL,Merton and Morden
556,Southall-Norwood (England),NULL,NULL,110,Ealing,NULL,Southall-Norwood
557,Southall-Norwood (England),NULL,NULL,651,Ealing,NULL,Southall-Norwood
558,Surbiton,NULL,NULL,0,Kingston upon Thames,NULL,Surbiton
559,"Surbiton (Surrey, England)",NULL,NULL,110,Kingston upon Thames,NULL,Surbiton
560,"Surbiton (London, England)",NULL,NULL,651,Kingston upon Thames,NULL,Surbiton
561,TottenhamDistrict,NULL,NULL,0,Haringey,NULL,Tottenham
562,Tottenham (England),NULL,NULL,110,Haringey,NULL,Tottenham
563,"Wanstead (London, England)",NULL,NULL,110,Redbridge,NULL,Wanstead
564,WestHam,NULL,NULL,0,Newham,NULL,West Ham
565,St.GilesDistrict,NULL,NULL,0,Camden,NULL,St Giles (Camden)
566,"Battersea, Metropolitan Borough of",NULL,NULL,0,Wandsworth,NULL,Battersea (Metropolitan Borough)
567,"St. Mary (Islington, London, England)",NULL,NULL,110,Islington,NULL,St Mary (Islington)
568,"Shoreditch, Parish of St. Leonard",NULL,NULL,0,Hackney,NULL,Shoreditch
569,Wandsworth,NULL,NULL,0,Wandsworth,NULL,Wandsworth
570,Brent Borough,NULL,NULL,0,Brent,NULL,Brent
571,"(Westminster (London, England)",NULL,NULL,651,City of Westminster,NULL,Strand (Westminster)
572,Brentford and Chiswick (England),NULL,NULL,110,Hounslow,NULL,Brentford and Chiswick
573,Brentford and Chiswick (England),NULL,NULL,651,Hounslow,NULL,Brentford and Chiswick
574,"Camden (London, England)",NULL,NULL,110,Camden,NULL,Camden
575,"Camden (London, England)",NULL,NULL,651,Camden,NULL,Camden
576,"Carshalton (Surrey, England)",NULL,NULL,0,Sutton,NULL,Carshalton
577,Chislehurst  (England),NULL,NULL,651,Bromley,NULL,Chislehurst
578,Chislehurst (England),NULL,NULL,110,Bromley,NULL,Chislehurst
579,Chislehurst (England),NULL,NULL,651,Bromley,NULL,Chislehurst
580,Chislehurst and Sidcup (England),NULL,NULL,110,Bromley,NULL,Chislehurst
581,Coulsdon (England),NULL,NULL,651,Croydon,NULL,Coulsdon and Purley
582,East Barnet (England),NULL,NULL,110,Barnet,NULL,East Barnet
583,Erith (London England),NULL,NULL,110,Bexley,NULL,Erith
584,"Finchley (London, England)",NULL,NULL,0,Barnet,NULL,Finchley
585,"Gray's Inn (London, England)",NULL,NULL,0,Camden,NULL,Gray's Inn
586,"Gray's Inn (London, England)",NULL,NULL,110,Camden,NULL,Gray's Inn
587,"Hampton (London, England)",NULL,NULL,0,Richmond upon Thames,NULL,Hampton
588,Hayes and Harlington (England),NULL,NULL,0,Hillingdon,NULL,Hayes and Harlington
589,"Hendon (London, England)",NULL,NULL,0,Barnet,NULL,Hendon
590,"Hornchurch (London, England)",NULL,NULL,0,Havering,NULL,Hornchurch
591,"Kingsbury (London, England)",NULL,NULL,110,Brent,NULL,Kingsbury
592,"Kingsbury (London, England)",NULL,NULL,651,Brent,NULL,Kingsbury
593,Kingsbury,NULL,NULL,0,Brent,NULL,Kingsbury
594,London (England),NULL,NULL,0,City of London,NULL,City of London
595,"Mayfair (London, England)",NULL,NULL,651,City of Westminster,NULL,Hanover Square
596,"Newham (London, England)",NULL,NULL,110,Newham,NULL,Newham
597,"Newington, St. Mary",NULL,NULL,0,Southwark,NULL,Newington
598,Orsett (England),NULL,NULL,110,NULL,NULL,Orsett
599,Orsett (England),NULL,NULL,651,NULL,NULL,Orsett
600,Orsett,NULL,NULL,0,NULL,NULL,Orsett
601,"Purley (London, England)",NULL,NULL,651,Croydon,NULL,Coulsdon and Purley
602,"Sidcup (London, England)",NULL,NULL,110,Bexley,NULL,Sidcup
603,"Sidcup (London, England)",NULL,NULL,651,Bromley,NULL,Chislehurst
604,"St. Giles (London, England)",NULL,NULL,651,Camden,NULL,St Giles (Camden)
605,"St. Leonard Shoreditch (London, England)",NULL,NULL,110,Hackney,NULL,Shoreditch
606,"St. Luke (Middlesex, England : Parish).",NULL,NULL,110,Islington,NULL,St Luke
607,"St. Luke (Middlesex, England : Parish)",NULL,NULL,110,Islington,NULL,St Luke
608,"St. Luke (Middlesex, England : Parish)",NULL,NULL,651,Islington,NULL,St Luke
609,"St. Martin-in-the-Fields (Church : Westminster, London, England)",NULL,NULL,110,City of Westminster,NULL,St Martin-in-the-Fields
610,"St. Martin-in-the-Fields (London, England : Parish)",NULL,NULL,0,City of Westminster,NULL,St Martin-in-the-Fields
611,"St. Martin-in-the-Fields (London, England : Parish)",NULL,NULL,110,City of Westminster,NULL,St Martin-in-the-Fields
612,"St. Mary, Islington (London, England)",NULL,NULL,110,Islington,NULL,St Mary (Islington)
613,"St. Mary, Newington (London, England)",NULL,NULL,110,Southwark,NULL,Newington
614,"St. Pancras (London, England)",NULL,NULL,651,Camden,NULL,St Pancras
615,Walthamstow (England),NULL,NULL,110,Waltham Forest,NULL,Walthamstow
616,Walthamstow (England),NULL,NULL,651,Waltham Forest,NULL,Walthamstow
617,"Wealdstone (London, England)",NULL,NULL,110,Harrow,NULL,Wealdstone
618,"Wealdstone (London, England)",NULL,NULL,651,Harrow,NULL,Wealdstone
619,Wealdstone,NULL,NULL,0,Harrow,NULL,Wealdstone
620,"Wembley (London, England)",NULL,NULL,0,Brent,NULL,Wembley
