location_name,year,centroid_lat,centroid_lon,no_smells
Camden,1858,51.546394,-0.157424,7
City of Westminster,1858,51.513444,-0.160467,111
Greenwich,1858,51.474432,0.055547,3
Hackney,1858,51.552267,-0.063316,6
Hammersmith and Fulham,1858,51.49501,-0.220789,5
Islington,1858,51.548487,-0.110251,4
Lewisham,1858,51.448284,-0.02029,7
Southwark,1858,51.474239,-0.074055,78
Tower Hamlets,1858,51.515741,-0.034662,27
